Muestras;Senal referencia;Senal exoesqueleto;Corriente;Velocidad
0;0;0;712;0
1;0;0;945;0
2;0;0;840;0
3;0;0;996;0
4;0;0;823;0
5;0;0;817;0
6;0;0;1255;0
7;0;0;1435;0
8;0;0;1489;0
9;0;0;639;0
10;0;0;899;0
11;0;0;740;0
12;0;0;888;0
13;0;0;1379;0
14;0;0;736;0
15;0;0;1014;0
16;0;0;1287;0
17;0;0;998;0
18;0;0;760;0
19;0;0;1359;0
20;0;0;1051;0
21;0;0;834;0
22;0;0;1073;0
23;0;0;937;0
24;0;0;778;0
25;0;0;1204;0
26;0;0;1156;0
27;0;0;1307;0
28;0;0;1119;0
29;0;0;1486;0
30;0;0;1079;0
31;0;0;593;0
32;0;0;969;0
33;0;0;658;0
34;0;0;1046;0
35;0;0;1371;0
36;0;0;1028;0
37;0;0;1290;0
38;0;0;344;0
39;0;0;195;0
40;0;0;454;0
41;0;0;157;0
42;0;0;99;0
43;0;0;68;0
44;0;0;241;0
45;0;0;432;0
46;0;0;385;0
47;0;0;171;0
48;0;0;96;0
49;0;0;350;0
50;0;0;406;0
51;0;0;275;0
52;0;0;535;0
53;0;0;243;0
54;0;0;44;0
55;0;0;151;0
56;0;0;7;0
57;0;0;214;0
58;0;0;63;0
59;0;0;91;0
60;0;0;74;0
61;0;0;61;0
62;0;0;150;0
63;0;0;92;0
64;0;0;85;0
65;0;0;25;0
66;0;0;8;0
67;0;0;167;0
68;0;0;358;0
69;0;0;222;0
70;0;0;239;0
71;0;0;34;0
72;0;0;1;0
73;0;0;159;0
74;0;0;245;0
75;0;0;518;0
76;0;0;391;0
77;0;0;14;0
78;0;0;148;0
79;0;0;169;0
80;0;0;221;0
81;0;0;117;0
82;0;0;741;0
83;0;0;1696;0
84;0;0;1911;0
85;0;0;1568;0
86;0;0;1917;0
87;0;0;2228;0
88;0;0;2282;0
89;0;0;1777;0
90;0;0;1715;0
91;0;0;1761;0
92;0;0;2396;0
93;0;0;1975;0
94;0;0;2128;0
95;0;0;2227;0
96;0;0;2064;0
97;0;0;2327;0
98;0;0;2272;0
99;0;0;2022;0
100;0;0;2669;0
101;0;0;2155;0
102;0;0;2597;0
103;0;0;2433;0
104;0;0;2285;0
105;0;0;2771;0
106;0;0;2390;0
107;0;0;2688;0
108;0;0;2716;0
109;0;0;3021;0
110;0;0;2624;0
111;0;0;2435;0
112;0;0;2611;0
113;0;0;1288;0
114;0;0;1226;0
115;0;0;901;0
116;0;0;544;0
117;0;0;1062;0
118;0;0;908;0
119;0;0;310;0
120;0;0;1035;0
121;0;0;888;0
122;0;0;1120;0
123;0;0;669;0
124;0;0;909;0
125;0;0;622;0
126;0;0;903;0
127;0;0;417;0
128;0;0;989;0
129;0;0;300;0
130;0;0;398;0
131;0;0;975;0
132;0;0;710;0
133;0;0;977;0
134;0;0;1032;0
135;0;0;647;0
136;0;0;453;0
137;0;0;357;0
138;0;0;619;0
139;0;0;701;0
140;0;0;1136;0
141;0;0;1147;0
142;0;0;1123;0
143;0;0;1267;0
144;0;0;1247;0
145;0;0;1246;0
146;0;0;1597;0
147;0;0;2069;0
148;0;0;1649;0
149;0;0;1457;0
150;0;0;1738;0
151;0;0;646;0
152;0;0;458;0
153;0;0;1060;0
154;0;0;889;0
155;0;0;774;0
156;0;0;217;0
157;0;0;532;0
158;0;0;1030;0
159;0;0;934;0
160;0;0;962;0
161;0;0;206;0
