Muestras;Senal referencia;Senal exoesqueleto;Corriente;Velocidad
0;0;3.00411;0;0
1;0;3.03901;0;0
2;0;3.06571;0;0
3;0;3.09651;0;0
4;0;3.13552;0;0
5;0;3.18275;0;0
6;0;3.23614;0;0
7;0;3.29363;0;0
8;0;3.35934;0;0
9;0;3.43326;0;0
10;0;3.51129;0;0
11;0;3.59754;0;0
12;0;3.68994;0;0
13;0;3.7885;0;0
14;0;3.89528;0;0
15;0;4.00616;0;0
16;0;4.12526;0;0
17;0;4.25257;0;0
18;0;4.38604;0;0
19;0;4.52361;0;0
20;0;4.6694;0;0
21;0;4.82341;0;0
22;0;4.98152;0;0
23;0;5.14579;0;0
24;0;5.31622;0;0
25;0;5.49487;0;0
26;0;5.67762;0;0
27;0;5.87269;0;0
28;0;6.07392;0;0
29;0;6.27721;0;0
30;0;6.49281;0;0
31;0;6.71047;0;0
32;0;6.93429;0;0
33;0;7.16427;0;0
34;0;7.40041;0;0
35;0;7.97331;0;0
36;0;8.22587;0;0
37;0;8.47433;0;0
38;0;8.71869;0;0
39;0;8.95277;0;0
40;0;9.17865;0;0
41;0;9.40041;0;0
42;0;9.61396;0;0
43;0;9.82135;0;0
44;0;10.0267;0;0
45;0;10.2197;0;0
46;0;10.4086;0;0
47;0;10.5893;0;0
48;0;10.7639;0;0
49;0;10.9343;0;0
50;0;11.0965;0;0
51;0;11.2505;0;0
52;0;11.4025;0;0
53;0;11.5441;0;0
54;0;11.6776;0;0
55;0;11.809;0;0
56;0;11.9322;0;0
57;0;12.0472;0;0
58;0;12.1581;0;0
59;0;12.2608;0;0
60;0;12.3552;0;0
61;0;12.5154;0;0
62;0;12.5934;0;0
63;0;12.6632;0;0
64;0;12.729;0;0
65;0;12.7864;0;0
66;0;12.8357;0;0
67;0;12.8788;0;0
68;0;12.9158;0;0
69;0;12.9466;0;0
70;0;12.9692;0;0
71;0;12.9877;0;0
72;0;12.9959;0;0
73;0;13;0;0
74;0;12.9918;0;0
75;0;12.9815;0;0
76;0;12.9671;0;0
77;0;12.9466;0;0
