Muestras;Senal referencia;Senal exoesqueleto;Corriente;Velocidad
0;-0;-4;0;0
1;-0;-4.05955;0;0
2;-0;-4.15811;0;0
3;-0;-4.30185;0;0
4;-0;-4.49692;0;0
5;-0;-4.73511;0;0
6;-0;-5.02053;0;0
7;-0;-5.35318;0;0
8;-0;-5.73101;0;0
9;-0;-6.16427;0;0
10;-0;-6.63655;0;0
11;-0;-7.16427;0;0
12;-0;-7.73101;0;0
13;-0;-8.34292;0;0
14;-0;-9.01437;0;0
15;-0;-9.72074;0;0
16;-0;-10.4743;0;0
17;-0;-11.2813;0;0
18;-0;-12.0637;0;0
19;-0;-12.7823;0;0
20;-0;-13.4579;0;0
21;-0;-14.0945;0;0
22;-0;-14.6756;0;0
23;-0;-15.2074;0;0
24;-0;-15.694;0;0
25;-0;-16.1355;0;0
26;-0;-16.5339;0;0
27;-0;-16.8809;0;0
28;-0;-17.1848;0;0
29;-0;-17.4374;0;0
30;-0;-17.6468;0;0
31;-0;-17.8049;0;0
32;-0;-17.9158;0;0
33;-0;-17.9815;0;0
34;-0;-18;0;0
35;-0;-17.9959;0;0
36;-0;-17.9836;0;0
37;-0;-17.9671;0;0
38;-0;-17.9446;0;0
39;-0;-17.9158;0;0
40;-0;-17.8789;0;0
41;-0;-17.8378;0;0
42;-0;-17.7906;0;0
43;-0;-17.7372;0;0
44;-0;-17.6756;0;0
45;-0;-17.6099;0;0
46;-0;-17.538;0;0
47;-0;-17.46;0;0
48;-0;-17.3737;0;0
49;-0;-17.2834;0;0
50;-0;-17.1869;0;0
51;-0;-17.0842;0;0
52;-0;-16.9733;0;0
53;-0;-16.8583;0;0
54;-0;-16.7351;0;0
55;-0;-16.6057;0;0
56;-0;-16.4723;0;0
57;-0;-16.3306;0;0
58;-0;-16.1848;0;0
59;-0;-16.0329;0;0
60;-0;-15.8747;0;0
61;-0;-15.5606;0;0
62;-0;-15.3819;0;0
63;-0;-15.1971;0;0
64;-0;-15.0082;0;0
65;-0;-14.8111;0;0
66;-0;-14.6057;0;0
67;-0;-14.4004;0;0
68;-0;-14.1828;0;0
69;-0;-13.961;0;0
70;-0;-13.7351;0;0
71;-0;-13.499;0;0
72;-0;-13.2628;0;0
73;-0;-12.5791;0;0
74;-0;-12.3142;0;0
75;-0;-12.0472;0;0
76;-0;-11.77;0;0
77;-0;-11.4867;0;0
78;-0;-11.2012;0;0
79;-0;-10.9055;0;0
80;-0;-10.6037;0;0
81;-0;-10.2998;0;0
82;-0;-9.98973;0;0
83;-0;-9.66324;0;0
84;-0;-9.34086;0;0
85;-0;-9.00616;0;0
86;-0;-8.67146;0;0
87;-0;-8.32444;0;0
88;-0;-7.97125;0;0
89;-0;-7.61807;0;0
90;-0;-7.25873;0;0
91;-0;-6.89322;0;0
92;-0;-6.52156;0;0
93;-0;-6.14579;0;0
94;-0;-5.76181;0;0
95;-0;-5.37166;0;0
96;-0;-4.97536;0;0
97;-0;-4.58111;0;0
98;-0;-4.19302;0;0
99;-0;-3.80903;0;0
100;-0;-3.43326;0;0
101;-0;-3.0616;0;0
102;-0;-2.69815;0;0
103;-0;-2.33265;0;0
104;-0;-1.98152;0;0
105;-0;-1.62834;0;0
106;-0;-1.28953;0;0
107;-0;-0.954825;0;0
108;-0;-0.626283;0;0
109;-0;-0.305955;0;0
110;-0;0.0102669;0;0
111;-0;0.320329;0;0
112;-0;0.622177;0;0
113;-0;0.919918;0;0
114;-0;1.2115;0;0
115;-0;1.49692;0;0
116;-0;1.77413;0;0
117;-0;2.05133;0;0
118;-0;2.31828;0;0
119;-0;2.57906;0;0
120;-0;2.83368;0;0
121;-0;3.08214;0;0
122;-0;3.32444;0;0
123;-0;3.56058;0;0
124;-0;3.79055;0;0
125;-0;4.01437;0;0
126;-0;4.23203;0;0
127;-0;4.44353;0;0
128;-0;4.64887;0;0
129;-0;4.84805;0;0
130;-0;5.04107;0;0
131;-0;5.22793;0;0
132;-0;5.40862;0;0
133;-0;5.58316;0;0
134;-0;5.75154;0;0
135;-0;5.91581;0;0
136;-0;6.07187;0;0
137;-0;6.22177;0;0
138;-0;6.3655;0;0
139;-0;6.50513;0;0
140;-0;6.63655;0;0
141;-0;6.76181;0;0
142;-0;6.88501;0;0
143;-0;6.99795;0;0
144;-0;7.10678;0;0
145;-0;7.20945;0;0
146;-0;7.3039;0;0
147;-0;7.39425;0;0
148;-0;7.47844;0;0
149;-0;7.55441;0;0
150;-0;7.62628;0;0
151;-0;7.68994;0;0
152;-0;7.74949;0;0
153;-0;7.80287;0;0
154;-0;7.84805;0;0
155;-0;7.88912;0;0
156;-0;7.92197;0;0
157;-0;7.95072;0;0
158;-0;7.97125;0;0
159;-0;7.98768;0;0
160;-0;7.99589;0;0
161;-0;7.99384;0;0
162;-0;7.98152;0;0
163;-0;7.95893;0;0
164;-0;7.92813;0;0
165;-0;7.89117;0;0
166;-0;7.84394;0;0
167;-0;7.70637;0;0
168;-0;7.63244;0;0
169;-0;7.55031;0;0
170;-0;7.46201;0;0
171;-0;7.3614;0;0
172;-0;7.25667;0;0
173;-0;7.14168;0;0
174;-0;7.01848;0;0
175;-0;6.88706;0;0
176;-0;6.74743;0;0
177;-0;6.59959;0;0
178;-0;6.44559;0;0
179;-0;6.28131;0;0
180;-0;6.11088;0;0
181;-0;5.92813;0;0
182;-0;5.74127;0;0
183;-0;5.54415;0;0
184;-0;5.34086;0;0
185;-0;5.12731;0;0
186;-0;4.8809;0;0
187;-0;4.64682;0;0
188;-0;4.40452;0;0
189;-0;4.15811;0;0
190;-0;3.90554;0;0
191;-0;3.64271;0;0
192;-0;3.36756;0;0
193;-0;3.0883;0;0
194;-0;2.80082;0;0
195;-0;2.50103;0;0
196;-0;2.19713;0;0
197;-0;1.88501;0;0
198;-0;1.56057;0;0
199;-0;1.23203;0;0
200;-0;0.897331;0;0
201;-0;0.546201;0;0
202;-0;0.193018;0;0
203;-0;-0.223819;0;0
204;-0;-0.607803;0;0
205;-0;-0.985626;0;0
206;-0;-1.37166;0;0
207;-0;-1.77413;0;0
208;-0;-2.17659;0;0
209;-0;-2.58932;0;0
210;-0;-3.01437;0;0
211;-0;-3.44353;0;0
212;-0;-3.87885;0;0
213;-0;-14.8891;0;0
214;-0;-15.2772;0;0
215;-0;-15.6489;0;0
216;-0;-16.0144;0;0
217;-0;-16.3778;0;0
218;-0;-16.7248;0;0
219;-0;-17.0657;0;0
220;-0;-17.4025;0;0
221;-0;-17.7269;0;0
222;-0;-18.0431;0;0
223;-0;-18.3552;0;0
224;-0;-18.655;0;0
225;-0;-18.9466;0;0
226;-0;-19.2341;0;0
227;-0;-19.5072;0;0
228;-0;-19.7741;0;0
229;-0;-20.037;0;0
230;-0;-20.2875;0;0
231;-0;-20.5298;0;0
232;-0;-20.7659;0;0
233;-0;-20.9918;0;0
234;-0;-21.2094;0;0
235;-0;-21.423;0;0
236;-0;-21.6222;0;0
237;-0;-21.8152;0;0
238;-0;-22.0041;0;0
239;-0;-22.1889;0;0
240;-0;-22.3593;0;0
241;-0;-22.5195;0;0
242;-0;-22.6694;0;0
243;-0;-22.8152;0;0
244;-0;-22.9507;0;0
245;-0;-23.0801;0;0
246;-0;-23.1971;0;0
247;-0;-23.308;0;0
248;-0;-23.4107;0;0
249;-0;-23.5051;0;0
250;-0;-23.5914;0;0
251;-0;-23.6694;0;0
252;-0;-23.7372;0;0
253;-0;-23.7988;0;0
254;-0;-23.8522;0;0
255;-0;-23.8973;0;0
256;-0;-23.9343;0;0
257;-0;-23.963;0;0
258;-0;-23.9836;0;0
259;-0;-23.9959;0;0
260;-0;-24;0;0
261;-0;-23.9856;0;0
262;-0;-23.9405;0;0
